word,tot_count
a2dp,1
aa,1
aapt,3
aaptexcept,1
aar,3
ab,6
aba,1
abbrevi,1
abc,2
abi,4
abil,1
abl,15
abort,3
absolut,15
abstract,25
abstractroutingdatasourc,1
abus,1
ac,1
academ,1
accdb,1
accecpt,1
acceler,5
acceleromet,3
accent,4
accept,34
access,284
accessibilityidentifi,2
accessibilityservic,3
accessor,4
accessori,1
accident,1
accompani,1
accomplish,3
accord,18
account,25
accumul,3
accumulo,1
accur,9
accuraci,7
acf,3
ach,1
achiev,19
ack,1
acknowledg,1
acloc,1
acorr,1
acquir,3
across,33
act,6
action,80
actionbar,6
actionbaract,4
actionbarcompat,1
actionbartoggl,1
actionc,3
actiondon,1
actionlayout,1
actionlisten,2
actionmenuview,1
actionsheet,1
activ,124
activatedrout,3
activeclassnam,1
activeform,2
activejob,1
activerecord,8
activesheet,1
activestorag,2
activex,1
activityind,3
activitytestrul,1
actix,1
actor,4
actual,60
acycl,2
ad,71
adaboostclassifi,1
adam,2
adapt,24
adb,17
add,478
addal,1
addeventlisten,2
addheaderview,1
addit,18
additionalprobingpath,1
addjavascriptinterfac,1
addjsonfil,1
addjsonopt,1
addlisten,1
addon,1
addrang,1
address,88
addtextchangelisten,1
addtorol,1
adf,1
adher,1
adhoc,1
adjust,13
adjustpan,1
adl,1
admin,20
administr,3
admiss,1
admob,7
admonit,1
ado,1
adomdcli,1
adorn,1
adress,2
adsens,5
adt,3
advanc,7
advantag,24
advertis,3
advic,1
advis,1
adword,1
ae,5
aem,1
aerospik,2
affect,22
afoauth2manag,1
afterpropertiesset,1
afterrend,1
afterscreenupd,1
afterward,1
ag,2
age,1
agenda,1
agent,16
agg,2
aggreg,24
agm,1
agnost,1
ago,1
agre,1
agrep,1
ahk,1
ai,4
aidl,1
aiff,1
aio,1
air,2
airbnb,2
airflow,9
airpod,1
aix,1
ajax,49
ak,1
aka,2
akka,5
al,2
alamofir,10
alarm,5
alasset,1
album,4
alcatraz,1
alchemi,1
alemb,5
alert,13
alertdialog,6
alertview,1
alexa,1
algebra,6
algorithm,58
alia,20
alias,10
align,53
alignof,1
aliv,2
allargsconstructor,1
allauth,1
allevi,1
alljoyn,1
allmatch,1
alloc,44
allow,126
allowsfractionalunit,1
almost,2
alon,2
along,15
alongsid,2
alpha,4
alphabet,5
alphanumer,3
alpin,8
alreadi,47
also,24
alt,4
alter,4
altern,70
although,1
alway,76
amazon,47
ambigu,9
amd,2
amd64,1
amend,1
america,1
american,1
ami,1
among,9
amort,1
amount,11
amp,1
ampersand,5
amplifi,1
anaconda,36
anaconda3,1
analog,2
analogu,2
analys,1
analysi,7
analysisservic,1
analyt,24
analyz,5
anchor,8
anchornod,1
ancm,1
android,857
androidinject,1
androidjunit4,3
androidmanifest,2
androidtest,1
androidx,6
angl,9
angular,402
angular2,80
angular4,3
angularfir,1
angularfire2,1
angularj,95
anim,97
animatewithdur,1
anki,1
annot,57
annotatedel,1
anon,1
anonym,13
anonymousus,1
anoth,168
anova,2
ansi,1
ansibl,53
answer,6
ant,2
anti,5
antiforgerytoken,2
antipattern,6
antlr4,2
anybodi,1
anyclass,1
anydpi,1
anymor,9
anyobject,3
anyon,17
anyth,9
anyway,8
anywher,4
aosp,5
aot,1
aov,1
ap,1
ap86oam3dut3pxce3x49rdtma,1
apach,54
apache2,2
apachebench,1
apart,1
apdu,2
apex,1
api,350
api23,1
apiexcept,1
apigateway,1
apikey,1
apiview,1
apk,34
apn,5
apollo,2
app,647
appar,2
appbar,10
appbarlayout,1
appcompactact,1
appcompat,13
appcompatact,3
appdeleg,4
appdomain,2
appear,27
append,31
appendchild,1
appengin,1
appgalleri,1
appicon,1
appinvit,1
appium,6
appl,29
applescript,3
